actual_intent_tag_norm,actual_intent_tag_raw,actual_intent_tag_source,automation_result,business_result,case_id,case_name,expected_handoff,handoff_check,input_cn,input_en,intent_tag_accuracy,intent_tag_reason,intent_tag_recommended,intent_tag_source,knowledge_hit,notes,outbound_preview,reply_check,response_ms,session_id,status,task_type,trace_detected_intent,trace_handoff_flag,trace_handoff_flag_event_id,trace_intent_event_id,trace_knowledge_hit,trace_knowledge_hit_event_id,trace_latency_event_id,trace_latency_ms,trace_tag_event_id,trace_tag_reason,whatsapp_id,回复是否准确,实际识别的意图标签,意图标签是否准确,知识库是否命中
,,none,PASS,PASS,TC-H70-001-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【标准问答场景】,false,PASS,HOT70 Pro 5G有哪些配置？,What are the specifications of the HOT70 Pro 5G?,是,actual_tag_empty_default_match,,empty_default,PASS,handoff by trace_handoff_flag,"HOT 70 Pro 5G Key Specs:
• Display: 144Hz High Refresh Rate, 960nits brightness
• Camera: SONY Image System
• Battery: 6000mAh with fast charging
• Protection: ",PASS,2269,agent_750a2e4905f740988fd1bcda55b81747,PASS,KNOWLEDGE_EVIDENCE_REPLY,SEND_FAILED_AI_RESPONSE_KNOWLEDGE_EVIDENCE_REPLY,0,35798,35799,1,35796,35796,2269,,,kb-3b763bc60b@s.whatsapp.net,是,,是,是
,,none,PASS,FAIL,TC-H70-001-H-C01,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：price is uncertain】,true,FAIL,我遇到这个情况：price is uncertain,"How much does the HOT70 Pro 5G cost, and are there any current deals?",是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,I didn't quite understand that. Could you send it again?,FAIL,9890,agent_2aecae866bd94af190af1c5d74d366d3,FAIL,AGENT_REPLY,SEND_FAILED_AI_RESPONSE_AGENT_REPLY,0,35804,35805,,,,,,,kb-a08efd41f5@s.whatsapp.net,否,,是,NA
,,none,PASS,FAIL,TC-H70-001-H-C02,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：product status changes】,true,FAIL,我遇到这个情况：product status changes,Has the HOT70 Pro 5G’s camera resolution changed after the recent status update?,是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",FAIL,3932,agent_5f4102b2fdec44d6b67a38a023d63739,FAIL,TRANSFER_FAILED_AI_FALLBACK,SEND_FAILED_AI_RESPONSE_TRANSFER_FAILED_AI_FALLBACK,0,35812,35813,0,35809,35809,3932,,,kb-257ffae9c7@s.whatsapp.net,否,,是,NA
,,none,PASS,FAIL,TC-H70-001-H-C03,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：special quotations are involved】,true,FAIL,我遇到这个情况：special quotations are involved,What volume discount or special pricing applies to the HOT70 Pro 5G?,是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",FAIL,5610,agent_2b2b7f1da63f4181b8ca3ce4eaf8f4db,FAIL,TRANSFER_FAILED_AI_FALLBACK,SEND_FAILED_AI_RESPONSE_TRANSFER_FAILED_AI_FALLBACK,0,35820,35821,0,35817,35817,5610,,,kb-a61bfa48b9@s.whatsapp.net,否,,是,NA
,,none,PASS,PASS,TC-H70-002-N,[活动规则] 预定HOT 70 Pro的活动怎么参加？【标准问答场景】,false,PASS,预定HOT 70 Pro的活动怎么参加？,How can I participate in the pre-order event for the HOT 70 Pro?,是,actual_tag_empty_default_match,,empty_default,PASS,handoff by trace_handoff_flag,"To participate in the pre-order event for the HOT 70 Pro 5G, please follow these steps:

1️⃣ Scan the pre-order QR code or visit the activity page
2️⃣ Fill in y",PASS,2505,agent_fc201e9eca3c44f1821a3097dec15267,PASS,KNOWLEDGE_EVIDENCE_REPLY,SEND_FAILED_AI_RESPONSE_KNOWLEDGE_EVIDENCE_REPLY,0,35827,35828,1,35825,35825,2505,,,kb-94fefd4a58@s.whatsapp.net,是,,是,是
,,none,PASS,PASS,TC-H70-003-N,[活动权益] 预订 HOT 70 Pro有什么福利？【标准问答场景】,false,PASS,预订 HOT 70 Pro有什么福利？,What are the benefits of booking the HOT 70 Pro?,是,actual_tag_empty_default_match,,empty_default,PASS,handoff by trace_handoff_flag,"Pre-order Exclusive Benefits:
🎁 Priority pickup — be among the first to get HOT 70 Pro 5G
🎁 Exclusive pre-order gifts (subject to availability)
🎁 Chance to win ",PASS,2108,agent_8518300092214071b5fe723a1652c620,PASS,KNOWLEDGE_EVIDENCE_REPLY,SEND_FAILED_AI_RESPONSE_KNOWLEDGE_EVIDENCE_REPLY,0,35834,35835,1,35832,35832,2108,,,kb-13da2322c9@s.whatsapp.net,是,,是,是
,,none,PASS,FAIL,TC-H70-003-H-C01,[活动权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：user asks about special promotions】,true,FAIL,我遇到这个情况：user asks about special promotions,Are there any exclusive deals or bundles available for the HOT 70 Pro right now?,是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,I didn't quite understand that. Could you send it again?,FAIL,9310,agent_2c906a7e087a482d9d0a8fec76990952,FAIL,AGENT_REPLY,SEND_FAILED_AI_RESPONSE_AGENT_REPLY,0,35840,35841,,,,,,,kb-707f7bca3c@s.whatsapp.net,否,,是,NA
,,none,PASS,FAIL,TC-H70-003-H-C02,[活动权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：fails to claim benefits】,true,FAIL,我遇到这个情况：fails to claim benefits,Why can't I claim the booking benefits for the HOT 70 Pro?,是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,FAIL,6632,agent_5646907643e94bcc981e3fbbe6903aab,FAIL,TRANSFER_FAILED_AI_FALLBACK,TRANSFER_FAILED_AI_FALLBACK,0,35848,35848,0,35845,35845,6632,,,kb-e2e75b0695@s.whatsapp.net,否,,是,NA
,,none,PASS,FAIL,TC-H70-003-H-C03,[活动权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：asks whether discounts can be stacked】,true,FAIL,我遇到这个情况：asks whether discounts can be stacked,Can I combine multiple discount offers when booking the HOT 70 Pro?,是,actual_tag_empty_default_match,,empty_default,NA,handoff by trace_handoff_flag; expected LOCAL handoff; handoffTarget=None; conversationStatus=open; isActiveAgent=1,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",FAIL,5120,agent_1addd8d2bbcb4ce09e3fcec8476eb35d,FAIL,TRANSFER_FAILED_AI_FALLBACK,SEND_FAILED_AI_RESPONSE_TRANSFER_FAILED_AI_FALLBACK,0,35856,35857,0,35853,35853,5120,,,kb-73cc76a7b7@s.whatsapp.net,否,,是,NA
,,none,PASS,PASS,TC-H70-004-N,[提机规则] 什么时候可以提机？【标准问答场景】,false,PASS,什么时候可以提机？,When can I pick up the machine?,是,actual_tag_empty_default_match,,empty_default,PASS,handoff by trace_handoff_flag,"Pickup Schedule:
• Pre-order pickup starts: July 13 (first day of launch week)
• Pickup during: July 13–19 (launch week)
• Store hours: Please check your select",PASS,2295,agent_9ecf453ab1fb412aafe4359916fa0c14,PASS,KNOWLEDGE_EVIDENCE_REPLY,SEND_FAILED_AI_RESPONSE_KNOWLEDGE_EVIDENCE_REPLY,0,35863,35864,1,35861,35861,2295,,,kb-b3558bf0c1@s.whatsapp.net,是,,是,是
