用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,转人工预期,是否存在知识库,执行阶段,是否使用新会话,知识库是否命中,知识库是否命中正确,日志客户标签,客户标签是否准确,日志转人工,转人工原因,转人工是否准确,实际回复内容（英文）,语义是否合理,回复是否准确,服务端真实耗时,接口响应时长,备注
TC-H70-006-N,[人工兜底规则] 预订失败了怎么办？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"We're sorry for the inconvenience! If your pre-order failed, our team can help you manually complete the booking. A support agent will assist you shortly.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订失败了怎么办？,What should I do if the booking fails?,否,是,P1,是,否,,NA,NA,NA,,NA,"We're sorry for the inconvenience! If your pre-order failed, our team can help you manually complete the booking. A support agent will assist you shortly.",NA,NA,0,50000,handoff by LLM: 对话中仅有一句用户提问，无任何转接人工的迹象。; handoff source=llm; no outbound reply; 业务反馈关键词重合0个
TC-H70-007-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些颜色？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G features 4 stunning color-changing variants with our exclusive Crystal Glow technology — the back changes color under different lighting!Night pulse、Mirage green、Dive blue、Thermo orange.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G有哪些颜色？,What colors does the HOT70 Pro 5G come in?,否,是,P1,是,是,,未预订高意向,是,否,,是,HOT 70 Pro 5G features 4 stunning color-changing variants with our exclusive Crystal Glow technology — the back changes color under different lighting!Night pulse、Mirage green、Dive blue、Thermo orange.,是,是,364,7264,handoff source=trace.handoff_flag; 明确回答了颜色种类并描述了技术特点，语义合理，语言自然，仅标点符号使用中文顿号，但不影响理解。
TC-H70-008-N,[HOT 70 Pro 商品信息] HOT70 Pro 支持 5G 吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Yes! HOT 70 Pro 5G supports 5G connectivity for ultra-fast browsing, streaming, and gaming. Experience next-level speed!

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 支持 5G 吗？,Does the HOT70 Pro support 5G?,否,是,P1,是,是,,未预订高意向,是,否,,是,"Yes! HOT 70 Pro 5G supports 5G connectivity for ultra-fast browsing, streaming, and gaming. Experience next-level speed!",是,是,337,5625,handoff source=trace.handoff_flag; 回复直接肯定用户问题，并详细说明支持5G功能，语义清晰，语言自然流畅。
TC-H70-011-H-C01,[预订权益] 支持分期付款吗？【条件式转人工场景：具体分期方案】,步骤1：先执行关联标准用例“TC-H70-011-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“具体分期方案”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“具体分期方案”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,具体分期方案,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-011-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：具体分期方案,Can you confirm the available installment plans for this purchase?,是,是,P1,否,否,,未预订高意向,是,NA,,否,"Yes! HOT 70 Pro 5G supports installment plans with options starting from 0 down payment. These plans are available at selected Infinix stores, and you can ask the in-store team for details on eligible plans.",否,否,0,50000,handoff by LLM: 机器人两次回复未能理解用户问题，但未触发转人工流程，对话中无实际转接至人工客服的迹象。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人未能理解用户关于分期付款的明确询问，重复要求重发，语义不合理。
TC-H70-019-H-C01,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：门店报价不一致】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“门店报价不一致”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“门店报价不一致”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,门店报价不一致,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：门店报价不一致,The store quoted a different price. Can you confirm which price is correct?,是,是,P1,否,否,,未预订高意向,是,NA,,否,"The official price of the HOT 70 Pro 5G (128GB+8GB) is BDT 36,999.",否,否,1647,50000,handoff by LLM: 对话中没有出现转接人工的明确动作或提示，用户仅询问价格确认，机器人未回应即结束。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人重复了之前的回答，没有回应价格差异的疑问。
TC-H70-019-H-C02,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：特殊价格】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“特殊价格”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“特殊价格”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,特殊价格,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：特殊价格,Can you confirm whether a special price applies to my purchase?,是,是,P1,否,否,,未预订高意向,是,是,special offer request matched,是,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",否,否,1580,50000,handoff by LLM: 对话中没有出现转接人工的提示或操作，机器人未进行转接。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人未回答用户关于特殊价格的问题，而是重复了之前的回复。; handoff by reply keyword: human agent
TC-H70-019-H-C03,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：优惠叠加】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“优惠叠加”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“优惠叠加”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,优惠叠加,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：优惠叠加,Can I stack this discount with another promotion?,是,是,P1,否,否,,未预订高意向,是,是,客户问题：HOT 70 Pro 5G discount promotion stack；原因：知识库暂时没有覆盖能可靠回答客户当前问题的内容,是,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",否,否,1753,50000,handoff by LLM: No handoff occurred in the provided transcript.; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人未回答用户关于折扣叠加的问题，而是重复了价格信息，语义不匹配。; handoff by reply keyword: human agent
TC-H70-019-H-C04,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：价格争议时】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“价格争议时”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“价格争议时”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,价格争议时,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-019-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：价格争议时,There is a dispute about the price. Can you help confirm the correct amount?,是,是,P1,否,否,,未预订高意向,是,NA,,否,"The HOT 70 Pro 5G (128GB+8GB) is priced at BDT 36,999.",否,否,1493,50000,handoff by LLM: 对话中没有出现转接人工的指示或动作，机器人仅表示不理解并请求重新发送。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人重复相同的回复，未理解用户关于价格争议的明确问题，语义不合理。
TC-H70-020-H-C01,[预订规则] 订金在哪里付【条件式转人工场景：用户询问收据】,步骤1：先执行关联标准用例“TC-H70-020-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“用户询问收据”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“用户询问收据”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,用户询问收据,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-020-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：用户询问收据,Can I get a receipt for my payment?,是,是,P1,否,否,,NA,NA,是,客户问题：Can I get a receipt for my deposit payment Infinix；原因：知识库暂时没有覆盖能可靠回答客户当前问题的内容,是,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",否,否,,50000,handoff by LLM: 用户询问收据，但机器人未进行转人工操作，对话结束。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人重复了之前的回答，没有回应用户关于收据的问题。; handoff by reply keyword: human agent
TC-H70-020-H-C02,[预订规则] 订金在哪里付【条件式转人工场景：发票】,步骤1：先执行关联标准用例“TC-H70-020-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“发票”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“发票”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,发票,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-020-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：发票,Can I get an invoice for this purchase?,是,是,P1,否,否,,未预订高意向,否,是,客户问题：deposit invoice；原因：知识库暂时没有覆盖能可靠回答客户当前问题的内容,是,"A human agent is not available right now, so I will keep helping you here. You can share more details, and I will do my best based on the available information.",否,否,1515,50000,handoff by LLM: 用户仅询问了发票问题，机器人未回应且未触发转接人工流程。; handoff source=llm; actual handoff did not match expected value; FAQ候选为空; 机器人没有回答用户关于发票的问题，而是重复了之前的押金支付信息，导致答非所问。; handoff by reply keyword: human agent
