用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,执行阶段,是否使用新会话,实际回复内容（英文）,是否存在知识库,知识库是否命中（日志）,知识库命中（人工复核）,日志客户标签,LLM推测预期标签,LLM判定客户标签是否准确,客户标签准确（人工复核）,转人工预期,日志转人工,转人工是否准确,转人工准确（人工复核）,语义是否合理（LLM）,回复是否准确（LLM）,回复准确（人工复核）,服务端真实耗时,接口响应时长,备注
TC-H70-SUM-S001-Q01,[流程指南][会话轮次1][同会话S001第1/4问] 你好，我想了解下 传音的新手机【汇总问题回归测试】,步骤1：开启新的WhatsApp会话。步骤2：按本会话组内用例顺序发送当前测试问题。步骤3：核对机器人识别业务场景和客户标签。步骤4：等待机器人完整回复并核对语义相关性、核心事实和边界处理。步骤5：确认是否存在知识库、知识库是否命中。步骤6：确认是否按预期触发或未触发人工转接。,机器人应围绕当前测试问题给出相关、完整、合规的回复；涉及HOT 70 Pro/预订/订金/提机/免单抽奖/门店/售后等知识时，应优先准确命中知识库并不得编造；涉及订单变更、退款投诉、人工诉求、库存/颜色保证、个人状态修改等边界场景时，应按规则触发人工或明确说明无法直接承诺；不得泄漏检索过程、工具调用、中间提示词、无关语言或异常占位符。,按问题语义和业务边界规则判断；如问题明确要求人工、涉及订单/预订状态变更、退款投诉、门店库存保证、个人信息修改等，应触发人工。,基于历史会话问题回归验证意图识别、知识库命中、回复准确性、客户标签与转人工策略。,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace；5) 本条是该会话组首问，需开启新会话。,你好，我想了解下 传音的新手机,,P1,是,,待验证,,,,待根据实际回复/日志判定,,,待判定,,,,,,,,,来源表格=流程指南；sheet_id=LTw4hl；源行=4；会话轮次=1；原问题前缀=Q1:；会话组ID=S001；同组执行序号=1；同组问题总数=4
TC-H70-SUM-S001-Q02,[流程指南][会话轮次1][同会话S001第2/4问] 这个刷新率的手机有什么特点，和60hz 比较【汇总问题回归测试】,步骤1：保持同一会话组 S001 的WhatsApp会话，不要新开会话。步骤2：在前序第1问完成后继续发送当前测试问题。步骤3：核对机器人是否正确理解多轮上下文。步骤4：等待机器人完整回复并核对语义相关性、核心事实和边界处理。步骤5：确认是否存在知识库、知识库是否命中。步骤6：确认是否按预期触发或未触发人工转接。,机器人应围绕当前测试问题给出相关、完整、合规的回复；涉及HOT 70 Pro/预订/订金/提机/免单抽奖/门店/售后等知识时，应优先准确命中知识库并不得编造；涉及订单变更、退款投诉、人工诉求、库存/颜色保证、个人状态修改等边界场景时，应按规则触发人工或明确说明无法直接承诺；不得泄漏检索过程、工具调用、中间提示词、无关语言或异常占位符。,按问题语义和业务边界规则判断；如问题明确要求人工、涉及订单/预订状态变更、退款投诉、门店库存保证、个人信息修改等，应触发人工。,基于历史会话问题回归验证意图识别、知识库命中、回复准确性、客户标签与转人工策略。,1) 已完成同一会话组 S001 的前序用例；2) 当前仍保持同一WhatsApp会话；3) 尚未发生会话关闭或人工接管导致AI不可答，除非该轮测试目标本身要求验证该状态；4) 可查看会话日志或Trace。,这个刷新率的手机有什么特点，和60hz 比较,,P1,否,,待验证,,,,待根据实际回复/日志判定,,,待判定,,,,,,,,,来源表格=流程指南；sheet_id=LTw4hl；源行=5；会话轮次=1；原问题前缀=Q2:；会话组ID=S001；同组执行序号=2；同组问题总数=4
TC-H70-SUM-S001-Q03,[流程指南][会话轮次1][同会话S001第3/4问] 打游戏呢【汇总问题回归测试】,步骤1：保持同一会话组 S001 的WhatsApp会话，不要新开会话。步骤2：在前序第2问完成后继续发送当前测试问题。步骤3：核对机器人是否正确理解多轮上下文。步骤4：等待机器人完整回复并核对语义相关性、核心事实和边界处理。步骤5：确认是否存在知识库、知识库是否命中。步骤6：确认是否按预期触发或未触发人工转接。,机器人应围绕当前测试问题给出相关、完整、合规的回复；涉及HOT 70 Pro/预订/订金/提机/免单抽奖/门店/售后等知识时，应优先准确命中知识库并不得编造；涉及订单变更、退款投诉、人工诉求、库存/颜色保证、个人状态修改等边界场景时，应按规则触发人工或明确说明无法直接承诺；不得泄漏检索过程、工具调用、中间提示词、无关语言或异常占位符。,按问题语义和业务边界规则判断；如问题明确要求人工、涉及订单/预订状态变更、退款投诉、门店库存保证、个人信息修改等，应触发人工。,基于历史会话问题回归验证意图识别、知识库命中、回复准确性、客户标签与转人工策略。,1) 已完成同一会话组 S001 的前序用例；2) 当前仍保持同一WhatsApp会话；3) 尚未发生会话关闭或人工接管导致AI不可答，除非该轮测试目标本身要求验证该状态；4) 可查看会话日志或Trace。,打游戏呢,,P1,否,,待验证,,,,待根据实际回复/日志判定,,,待判定,,,,,,,,,来源表格=流程指南；sheet_id=LTw4hl；源行=6；会话轮次=1；原问题前缀=Q3:；会话组ID=S001；同组执行序号=3；同组问题总数=4
TC-H70-SUM-S001-Q04,[流程指南][会话轮次1][同会话S001第4/4问] 我是说 这款手机打游戏【汇总问题回归测试】,步骤1：保持同一会话组 S001 的WhatsApp会话，不要新开会话。步骤2：在前序第3问完成后继续发送当前测试问题。步骤3：核对机器人是否正确理解多轮上下文。步骤4：等待机器人完整回复并核对语义相关性、核心事实和边界处理。步骤5：确认是否存在知识库、知识库是否命中。步骤6：确认是否按预期触发或未触发人工转接。,机器人应围绕当前测试问题给出相关、完整、合规的回复；涉及HOT 70 Pro/预订/订金/提机/免单抽奖/门店/售后等知识时，应优先准确命中知识库并不得编造；涉及订单变更、退款投诉、人工诉求、库存/颜色保证、个人状态修改等边界场景时，应按规则触发人工或明确说明无法直接承诺；不得泄漏检索过程、工具调用、中间提示词、无关语言或异常占位符。,按问题语义和业务边界规则判断；如问题明确要求人工、涉及订单/预订状态变更、退款投诉、门店库存保证、个人信息修改等，应触发人工。,基于历史会话问题回归验证意图识别、知识库命中、回复准确性、客户标签与转人工策略。,1) 已完成同一会话组 S001 的前序用例；2) 当前仍保持同一WhatsApp会话；3) 尚未发生会话关闭或人工接管导致AI不可答，除非该轮测试目标本身要求验证该状态；4) 可查看会话日志或Trace。,我是说 这款手机打游戏,,P1,否,,待验证,,,,待根据实际回复/日志判定,,,待判定,,,,,,,,,来源表格=流程指南；sheet_id=LTw4hl；源行=7；会话轮次=1；原问题前缀=Q4:；会话组ID=S001；同组执行序号=4；同组问题总数=4
TC-H70-SUM-S002-Q01,[流程指南][会话轮次2][同会话S002第1/4问] 你知道非洲哪家中国手机做的最好吗【汇总问题回归测试】,步骤1：开启新的WhatsApp会话。步骤2：按本会话组内用例顺序发送当前测试问题。步骤3：核对机器人识别业务场景和客户标签。步骤4：等待机器人完整回复并核对语义相关性、核心事实和边界处理。步骤5：确认是否存在知识库、知识库是否命中。步骤6：确认是否按预期触发或未触发人工转接。,机器人应围绕当前测试问题给出相关、完整、合规的回复；涉及HOT 70 Pro/预订/订金/提机/免单抽奖/门店/售后等知识时，应优先准确命中知识库并不得编造；涉及订单变更、退款投诉、人工诉求、库存/颜色保证、个人状态修改等边界场景时，应按规则触发人工或明确说明无法直接承诺；不得泄漏检索过程、工具调用、中间提示词、无关语言或异常占位符。,按问题语义和业务边界规则判断；如问题明确要求人工、涉及订单/预订状态变更、退款投诉、门店库存保证、个人信息修改等，应触发人工。,基于历史会话问题回归验证意图识别、知识库命中、回复准确性、客户标签与转人工策略。,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace；5) 本条是该会话组首问，需开启新会话。,你知道非洲哪家中国手机做的最好吗,,P1,是,,待验证,,,,待根据实际回复/日志判定,,,待判定,,,,,,,,,来源表格=流程指南；sheet_id=LTw4hl；源行=8；会话轮次=2；原问题前缀=Q1:；会话组ID=S002；同组执行序号=1；同组问题总数=4
TC-H70-SUM-S002-Q02,[流程指南][会话轮次2][同会话S002第2/4问] 为什么传音在非洲卖得这么好【汇总问题回归测试】,步骤1：保持同一会话组 S002 的WhatsApp会话，不要新开会话。步骤2：在前序第1问完成后继续发送当前测试问题。步骤3：核对机器人是否正确理解多轮上下文。步骤4：等待机器人完整回复并核对语义相关性、核心事实和边界处理。步骤5：确认是否存在知识库、知识库是否命中。步骤6：确认是否按预期触发或未触发人工转接。,机器人应围绕当前测试问题给出相关、完整、合规的回复；涉及HOT 70 Pro/预订/订金/提机/免单抽奖/门店/售后等知识时，应优先准确命中知识库并不得编造；涉及订单变更、退款投诉、人工诉求、库存/颜色保证、个人状态修改等边界场景时，应按规则触发人工或明确说明无法直接承诺；不得泄漏检索过程、工具调用、中间提示词、无关语言或异常占位符。,按问题语义和业务边界规则判断；如问题明确要求人工、涉及订单/预订状态变更、退款投诉、门店库存保证、个人信息修改等，应触发人工。,基于历史会话问题回归验证意图识别、知识库命中、回复准确性、客户标签与转人工策略。,1) 已完成同一会话组 S002 的前序用例；2) 当前仍保持同一WhatsApp会话；3) 尚未发生会话关闭或人工接管导致AI不可答，除非该轮测试目标本身要求验证该状态；4) 可查看会话日志或Trace。,为什么传音在非洲卖得这么好,,P1,否,,待验证,,,,待根据实际回复/日志判定,,,待判定,,,,,,,,,来源表格=流程指南；sheet_id=LTw4hl；源行=9；会话轮次=2；原问题前缀=Q2:；会话组ID=S002；同组执行序号=2；同组问题总数=4
TC-H70-SUM-S002-Q03,[流程指南][会话轮次2][同会话S002第3/4问] Infinix 也是传音的吗【汇总问题回归测试】,步骤1：保持同一会话组 S002 的WhatsApp会话，不要新开会话。步骤2：在前序第2问完成后继续发送当前测试问题。步骤3：核对机器人是否正确理解多轮上下文。步骤4：等待机器人完整回复并核对语义相关性、核心事实和边界处理。步骤5：确认是否存在知识库、知识库是否命中。步骤6：确认是否按预期触发或未触发人工转接。,机器人应围绕当前测试问题给出相关、完整、合规的回复；涉及HOT 70 Pro/预订/订金/提机/免单抽奖/门店/售后等知识时，应优先准确命中知识库并不得编造；涉及订单变更、退款投诉、人工诉求、库存/颜色保证、个人状态修改等边界场景时，应按规则触发人工或明确说明无法直接承诺；不得泄漏检索过程、工具调用、中间提示词、无关语言或异常占位符。,按问题语义和业务边界规则判断；如问题明确要求人工、涉及订单/预订状态变更、退款投诉、门店库存保证、个人信息修改等，应触发人工。,基于历史会话问题回归验证意图识别、知识库命中、回复准确性、客户标签与转人工策略。,1) 已完成同一会话组 S002 的前序用例；2) 当前仍保持同一WhatsApp会话；3) 尚未发生会话关闭或人工接管导致AI不可答，除非该轮测试目标本身要求验证该状态；4) 可查看会话日志或Trace。,Infinix 也是传音的吗,,P1,否,,待验证,,,,待根据实际回复/日志判定,,,待判定,,,,,,,,,来源表格=流程指南；sheet_id=LTw4hl；源行=10；会话轮次=2；原问题前缀=Q3:；会话组ID=S002；同组执行序号=3；同组问题总数=4
TC-H70-SUM-S002-Q04,[流程指南][会话轮次2][同会话S002第4/4问] 在非洲买 Infinix 靠谱吗【汇总问题回归测试】,步骤1：保持同一会话组 S002 的WhatsApp会话，不要新开会话。步骤2：在前序第3问完成后继续发送当前测试问题。步骤3：核对机器人是否正确理解多轮上下文。步骤4：等待机器人完整回复并核对语义相关性、核心事实和边界处理。步骤5：确认是否存在知识库、知识库是否命中。步骤6：确认是否按预期触发或未触发人工转接。,机器人应围绕当前测试问题给出相关、完整、合规的回复；涉及HOT 70 Pro/预订/订金/提机/免单抽奖/门店/售后等知识时，应优先准确命中知识库并不得编造；涉及订单变更、退款投诉、人工诉求、库存/颜色保证、个人状态修改等边界场景时，应按规则触发人工或明确说明无法直接承诺；不得泄漏检索过程、工具调用、中间提示词、无关语言或异常占位符。,按问题语义和业务边界规则判断；如问题明确要求人工、涉及订单/预订状态变更、退款投诉、门店库存保证、个人信息修改等，应触发人工。,基于历史会话问题回归验证意图识别、知识库命中、回复准确性、客户标签与转人工策略。,1) 已完成同一会话组 S002 的前序用例；2) 当前仍保持同一WhatsApp会话；3) 尚未发生会话关闭或人工接管导致AI不可答，除非该轮测试目标本身要求验证该状态；4) 可查看会话日志或Trace。,在非洲买 Infinix 靠谱吗,,P1,否,,待验证,,,,待根据实际回复/日志判定,,,待判定,,,,,,,,,来源表格=流程指南；sheet_id=LTw4hl；源行=11；会话轮次=2；原问题前缀=Q4:；会话组ID=S002；同组执行序号=4；同组问题总数=4
TC-H70-SUM-S003-Q01,[流程指南][会话轮次3][同会话S003第1/4问] 怎么参加预订活动【汇总问题回归测试】,步骤1：开启新的WhatsApp会话。步骤2：按本会话组内用例顺序发送当前测试问题。步骤3：核对机器人识别业务场景和客户标签。步骤4：等待机器人完整回复并核对语义相关性、核心事实和边界处理。步骤5：确认是否存在知识库、知识库是否命中。步骤6：确认是否按预期触发或未触发人工转接。,机器人应围绕当前测试问题给出相关、完整、合规的回复；涉及HOT 70 Pro/预订/订金/提机/免单抽奖/门店/售后等知识时，应优先准确命中知识库并不得编造；涉及订单变更、退款投诉、人工诉求、库存/颜色保证、个人状态修改等边界场景时，应按规则触发人工或明确说明无法直接承诺；不得泄漏检索过程、工具调用、中间提示词、无关语言或异常占位符。,按问题语义和业务边界规则判断；如问题明确要求人工、涉及订单/预订状态变更、退款投诉、门店库存保证、个人信息修改等，应触发人工。,基于历史会话问题回归验证意图识别、知识库命中、回复准确性、客户标签与转人工策略。,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace；5) 本条是该会话组首问，需开启新会话。,怎么参加预订活动,,P1,是,,待验证,,,,待根据实际回复/日志判定,,,待判定,,,,,,,,,来源表格=流程指南；sheet_id=LTw4hl；源行=12；会话轮次=3；原问题前缀=Q1:；会话组ID=S003；同组执行序号=1；同组问题总数=4
TC-H70-SUM-S003-Q02,[流程指南][会话轮次3][同会话S003第2/4问] 只在线上填完信息就算预订成功了吗【汇总问题回归测试】,步骤1：保持同一会话组 S003 的WhatsApp会话，不要新开会话。步骤2：在前序第1问完成后继续发送当前测试问题。步骤3：核对机器人是否正确理解多轮上下文。步骤4：等待机器人完整回复并核对语义相关性、核心事实和边界处理。步骤5：确认是否存在知识库、知识库是否命中。步骤6：确认是否按预期触发或未触发人工转接。,机器人应围绕当前测试问题给出相关、完整、合规的回复；涉及HOT 70 Pro/预订/订金/提机/免单抽奖/门店/售后等知识时，应优先准确命中知识库并不得编造；涉及订单变更、退款投诉、人工诉求、库存/颜色保证、个人状态修改等边界场景时，应按规则触发人工或明确说明无法直接承诺；不得泄漏检索过程、工具调用、中间提示词、无关语言或异常占位符。,按问题语义和业务边界规则判断；如问题明确要求人工、涉及订单/预订状态变更、退款投诉、门店库存保证、个人信息修改等，应触发人工。,基于历史会话问题回归验证意图识别、知识库命中、回复准确性、客户标签与转人工策略。,1) 已完成同一会话组 S003 的前序用例；2) 当前仍保持同一WhatsApp会话；3) 尚未发生会话关闭或人工接管导致AI不可答，除非该轮测试目标本身要求验证该状态；4) 可查看会话日志或Trace。,只在线上填完信息就算预订成功了吗,,P1,否,,待验证,,,,待根据实际回复/日志判定,,,待判定,,,,,,,,,来源表格=流程指南；sheet_id=LTw4hl；源行=13；会话轮次=3；原问题前缀=Q2:；会话组ID=S003；同组执行序号=2；同组问题总数=4
