id,input,expected_action,reason,should_handoff,priority,rule_id,source
HO-FAQ-A001-C01,price is uncertain,handoff,如涉及价格不确定、商品状态变化、特殊报价，转人工确认。,true,P0,FAQ-A001,faq_condition
HO-FAQ-A001-C02,product status changes,handoff,如涉及价格不确定、商品状态变化、特殊报价，转人工确认。,true,P0,FAQ-A001,faq_condition
HO-FAQ-A001-C03,special quotations are involved,handoff,如涉及价格不确定、商品状态变化、特殊报价，转人工确认。,true,P0,FAQ-A001,faq_condition
HO-FAQ-A001-C04,涉及价格不确定,handoff,如涉及价格不确定、商品状态变化、特殊报价，转人工确认。,true,P0,FAQ-A001,faq_condition
HO-FAQ-A001-C05,商品状态变化,handoff,如涉及价格不确定、商品状态变化、特殊报价，转人工确认。,true,P0,FAQ-A001,faq_condition
HO-FAQ-A003-C01,user asks about special promotions,handoff,如用户询问特殊优惠、权益领取失败、优惠是否可叠加，转人工。,true,P0,FAQ-A003,faq_condition
HO-FAQ-A003-C02,fails to claim benefits,handoff,如用户询问特殊优惠、权益领取失败、优惠是否可叠加，转人工。,true,P0,FAQ-A003,faq_condition
HO-FAQ-A003-C03,asks whether discounts can be stacked,handoff,如用户询问特殊优惠、权益领取失败、优惠是否可叠加，转人工。,true,P0,FAQ-A003,faq_condition
HO-FAQ-A003-C04,用户询问特殊优惠,handoff,如用户询问特殊优惠、权益领取失败、优惠是否可叠加，转人工。,true,P0,FAQ-A003,faq_condition
HO-FAQ-A003-C05,权益领取失败,handoff,如用户询问特殊优惠、权益领取失败、优惠是否可叠加，转人工。,true,P0,FAQ-A003,faq_condition
HO-FAQ-A004-C01,user cannot pick up the device at the store,handoff,如用户到店无法提机、凭证异常、超过截止时间，转人工。,true,P0,FAQ-A004,faq_condition
HO-FAQ-A004-C02,voucher is abnormal,handoff,如用户到店无法提机、凭证异常、超过截止时间，转人工。,true,P0,FAQ-A004,faq_condition
HO-FAQ-A004-C03,deadline has passed,handoff,如用户到店无法提机、凭证异常、超过截止时间，转人工。,true,P0,FAQ-A004,faq_condition
HO-FAQ-A004-C04,用户到店无法提机,handoff,如用户到店无法提机、凭证异常、超过截止时间，转人工。,true,P0,FAQ-A004,faq_condition
HO-FAQ-A004-C05,凭证异常,handoff,如用户到店无法提机、凭证异常、超过截止时间，转人工。,true,P0,FAQ-A004,faq_condition
HO-FAQ-A005-C01,real-time inventory,handoff,如涉及实时库存、门店异常、城市未覆盖、具体门店确认，转人工。,true,P0,FAQ-A005,faq_condition
HO-FAQ-A005-C02,store anomalies,handoff,如涉及实时库存、门店异常、城市未覆盖、具体门店确认，转人工。,true,P0,FAQ-A005,faq_condition
HO-FAQ-A005-C03,uncovered cities,handoff,如涉及实时库存、门店异常、城市未覆盖、具体门店确认，转人工。,true,P0,FAQ-A005,faq_condition
HO-FAQ-A005-C04,specific store confirmation are involved,handoff,如涉及实时库存、门店异常、城市未覆盖、具体门店确认，转人工。,true,P0,FAQ-A005,faq_condition
HO-FAQ-A005-C05,涉及实时库存,handoff,如涉及实时库存、门店异常、城市未覆盖、具体门店确认，转人工。,true,P0,FAQ-A005,faq_condition
HO-FAQ-A007,预订失败了怎么办？,handoff,此类问题原则上进入人工兜底，并记录原因。,true,P0,FAQ-A007,faq
HO-FAQ-A012-C01,Specific installment plans require store confirmation,handoff,具体分期方案需门店确认，转人工。,true,P0,FAQ-A012,faq_condition
HO-FAQ-A012-C02,transfer to human,handoff,具体分期方案需门店确认，转人工。,true,P0,FAQ-A012,faq_condition
HO-FAQ-A012-C03,具体分期方案需门店确认,handoff,具体分期方案需门店确认，转人工。,true,P0,FAQ-A012,faq_condition
HO-FAQ-A013-C01,gifts are out of stock,handoff,如礼品已发完、用户投诉，转人工。,true,P0,FAQ-A013,faq_condition
HO-FAQ-A013-C02,user files a complaint,handoff,如礼品已发完、用户投诉，转人工。,true,P0,FAQ-A013,faq_condition
HO-FAQ-A013-C03,礼品已发完,handoff,如礼品已发完、用户投诉，转人工。,true,P0,FAQ-A013,faq_condition
HO-FAQ-A013-C04,用户投诉,handoff,如礼品已发完、用户投诉，转人工。,true,P0,FAQ-A013,faq_condition
HO-FAQ-A015,可以换门店提机吗？,handoff,门店变更需人工处理。,true,P0,FAQ-A015,faq
HO-FAQ-A016,我所在的城市有门店吗？,handoff,需确认具体城市覆盖情况。,true,P0,FAQ-A016,faq
HO-FAQ-A018,我想取消预订,handoff,取消预订需人工处理。,true,P0,FAQ-A018,faq
HO-FAQ-A019,我要投诉/反馈问题,handoff,直接进入人工。,true,P0,FAQ-A019,faq
HO-FAQ-A020,到店后无法提机,handoff,直接进入人工，需协调门店。,true,P0,FAQ-A020,faq
HO-FAQ-A021-C01,Transfer to human when store quotations are inconsistent,handoff,门店报价不一致、特殊价格、优惠叠加、价格争议时转人工。,true,P0,FAQ-A021,faq_condition
HO-FAQ-A021-C02,special prices,handoff,门店报价不一致、特殊价格、优惠叠加、价格争议时转人工。,true,P0,FAQ-A021,faq_condition
HO-FAQ-A021-C03,overlapping discounts,handoff,门店报价不一致、特殊价格、优惠叠加、价格争议时转人工。,true,P0,FAQ-A021,faq_condition
HO-FAQ-A021-C04,price disputes occur,handoff,门店报价不一致、特殊价格、优惠叠加、价格争议时转人工。,true,P0,FAQ-A021,faq_condition
HO-FAQ-A021-C05,门店报价不一致,handoff,门店报价不一致、特殊价格、优惠叠加、价格争议时转人工。,true,P0,FAQ-A021,faq_condition
HO-FAQ-A022-C01,Transfer to human when user asks about specific store payment methods,handoff,用户询问具体门店付款方式、收据、门店无法收款时转人工。,true,P0,FAQ-A022,faq_condition
HO-FAQ-A022-C02,receipts,handoff,用户询问具体门店付款方式、收据、门店无法收款时转人工。,true,P0,FAQ-A022,faq_condition
HO-FAQ-A022-C03,when the store cannot accept payment,handoff,用户询问具体门店付款方式、收据、门店无法收款时转人工。,true,P0,FAQ-A022,faq_condition
HO-FAQ-A022-C04,用户询问具体门店付款方式,handoff,用户询问具体门店付款方式、收据、门店无法收款时转人工。,true,P0,FAQ-A022,faq_condition
HO-FAQ-A022-C05,收据,handoff,用户询问具体门店付款方式、收据、门店无法收款时转人工。,true,P0,FAQ-A022,faq_condition
HO-FAQ-A023-C01,Transfer to human when user has already received other discounts,handoff,用户已享受其他优惠、门店金额不一致、付款争议时转人工。,true,P0,FAQ-A023,faq_condition
