case_id,name,source,expected_handoff,webhook_http,outbound_count,session_id,whatsapp_id,conversation_status,handoff_target,is_active_agent,result,note,reply_preview,question
TC-H70-001-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_a91fb8dd74e94452943fc4ecd2279f6b,newsess-2a5b4bd0e4@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT70 Pro 5G有哪些配置？
TC-H70-002-N,[活动规则] 预定HOT 70 Pro的活动怎么参加？【标准问答场景】,活动规则,否,200,0,agent_315d17777b78491bab8af102a2e5a1ca,newsess-be287fa068@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,预定HOT 70 Pro的活动怎么参加？
TC-H70-003-N,[活动权益] 预订 HOT 70 Pro有什么福利？【标准问答场景】,活动权益,否,200,0,agent_5d86f627fe4e4a4cab5552c17a5ab796,newsess-7a0c03b5c6@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,预订 HOT 70 Pro有什么福利？
TC-H70-004-N,[门店信息] 哪里可以买/提HOT 70 Pro？【标准问答场景】,门店信息,否,200,0,agent_2c36dc46d26146afad67d5bc4e8280f6,newsess-fdce3d4859@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,哪里可以买/提HOT 70 Pro？
TC-H70-005-N,[官方身份说明] 这个 WhatsApp 号是正规的吗？【标准问答场景】,官方身份说明,否,200,0,agent_039c0ae6655548bea18fe3202608c982,newsess-b417c7fe49@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,这个 WhatsApp 号是正规的吗？
TC-H70-006-N,[人工兜底规则] 预订失败了怎么办？【直接转人工场景】,人工兜底规则,是,200,0,agent_75e602324c214c9c8ab1377ce7f81c18,newsess-ffe4ad7874@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,预订失败了怎么办？
TC-H70-007-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些颜色？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_1773d45cdcb1480987a74433b70ba9dd,newsess-0bf53681ad@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT70 Pro 5G有哪些颜色？
TC-H70-008-N,[HOT 70 Pro 商品信息] HOT70 Pro 支持 5G 吗？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_aa2299ac7c92410fbda252b2a149857b,newsess-df290b9720@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT70 Pro 支持 5G 吗？
TC-H70-009-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G防水吗？【标准问答场景】,HOT 70 Pro 商品信息,否,200,0,agent_578d164f870948b98a0e6b56cd1b389d,newsess-cd5468f5d8@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT70 Pro 5G防水吗？
TC-H70-010-N,[活动规则] 预订后下一步做什么？【标准问答场景】,活动规则,否,200,0,agent_d6b8fda06d5b49dabc829de7507cf50d,newsess-c164019773@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,预订后下一步做什么？
TC-H70-011-N,[活动权益] 支持分期付款吗？【标准问答场景】,活动权益,否,200,0,agent_704da8a26e4a4517bd2a904b98867a4f,newsess-601df8da37@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,支持分期付款吗？
TC-H70-012-N,[提机规则] 提机需要带什么？【标准问答场景】,提机规则,否,200,0,agent_0e6c61f0cfad4154ba706a69867ee099,newsess-01b571655b@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,提机需要带什么？
TC-H70-013-N,[提机规则] 可以换门店提机吗？【直接转人工场景】,提机规则,是,200,0,agent_6de548c65d8748b7a1995db79ff02b14,newsess-a80ca48d7e@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,可以换门店提机吗？
TC-H70-014-N,[门店信息] 我所在的城市有门店吗？【直接转人工场景】,门店信息,是,200,0,agent_4dd6d81a254b46a7b288b9fd5cdd9027,newsess-74ffe34dd3@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,我所在的城市有门店吗？
TC-H70-015-N,[官方身份说明] HOT 70 Pro是正品吗？有保修吗？【标准问答场景】,官方身份说明,否,200,0,agent_8e520ab05466470aa5fec66b13cebb24,newsess-3a43a21a0c@s.whatsapp.net,open,,1,FAIL,无机器人outbound,,HOT 70 Pro是正品吗？有保修吗？
TC-H70-016-N,[人工兜底规则] 我想取消预订【直接转人工场景】,人工兜底规则,是,200,0,agent_45aeec96259a416cb7c4851acacdd1fd,newsess-a597ba2098@s.whatsapp.net,open,,1,FAIL,无机器人outbound; handoffTarget=None; conversationStatus=open; isActiveAgent=1,,我想取消预订
