序号,用户问题（用户实际使用语种）,分类,相似问法,业务反馈,回复中文翻译,是否需要转人工,转人工条件/备注,状态
,HOT70 Pro 5G有哪些配置？,HOT 70 Pro 商品信息,specs / color / memory / battery / camera / price / configuration,"HOT 70 Pro 5G Key Specs:
• Display: 144Hz High Refresh Rate, 960nits brightness
• Camera: SONY Image System
• Battery: 6000mAh with fast charging
• Protection: IP68/IP69 water & dust resistant
• OS: 3 years OS update + 5 years security update
• Special: Color-changing back design + DIY Cube LED
• Colors: 4 color-changing crystal variants","HOT 70 Pro 5G 主要规格：
• 显示屏：144Hz 高刷新率，960 尼特亮度
• 相机：索尼影像系统
• 电池：6000mAh 带快速充电
• 防护：IP68/IP69 防水防尘
• 操作系统：3 年系统更新 + 5 年安全更新
• 特色：变色背部设计 + DIY 立方体 LED
• 颜色：4 种变色水晶版本
",视情况,如涉及价格不确定、商品状态变化、特殊报价，转人工确认。,已确认
,预定HOT 70 Pro的活动怎么参加？,活动规则,join campaign / how to participate / booking / payment / next step / pre-order,"How to Pre-order HOT 70 Pro 5G:
1️⃣ Scan the pre-order QR code or visit the activity page
2️⃣ Fill in your details (name, phone number)
3️⃣ Enter the verification code
4️⃣ Select your preferred store & pickup time
5️⃣ Confirm your booking — you'll receive a pickup code!

📅 Pre-order period: July 8–12
🎁 Pre-order benefits available — don't miss out!","如何预购HOT 70 Pro 5G：
1️⃣ 扫描预购二维码或访问活动页面
2️⃣ 填写您的详细信息（姓名、电话号码）
3️⃣ 输入验证码
4️⃣ 选择您偏好的门店和取货时间
5️⃣ 确认您的预订——您将收到取货码！

📅 预购期：7月8日–12日
🎁 预购福利已上线——不要错过！",否,如用户预订失败、入口打不开、流程异常，转人工。,已确认
,预订 HOT 70 Pro有什么福利？,活动权益,gift / voucher / coupon / lucky draw / benefit / discount / pre-order bonus,"Pre-order Exclusive Benefits:
🎁 Priority pickup — be among the first to get HOT 70 Pro 5G
🎁 Exclusive pre-order gifts (subject to availability)
🎁 Chance to win lucky draw prizes
🎁 Special in-store promotions during launch week

Visit your nearest Infinix store for full details!","预购专属福利：
🎁 优先提货 — 抢先拥有HOT 70 Pro 5G
🎁 专属预购礼品（数量有限，赠完即止）
🎁 有机会赢取抽奖奖品
🎁 上市周期间的店内特别促销

前往离您最近的Infinix门店了解完整详情！",视情况,如用户询问特殊优惠、权益领取失败、优惠是否可叠加，转人工。,已确认
,什么时候可以提机？,提机规则,pickup / collect / store / proof / deadline / when can I get my phone,"Pickup Schedule:
• Pre-order pickup starts: July 13 (first day of launch week)
• Pickup during: July 13–19 (launch week)
• Store hours: Please check your selected store's opening hours

Please visit your selected store within the pickup period with your confirmation code & valid ID.","取货安排：
• 预购取货开始时间：7月13日（发布周第一天）
• 取货时间：7月13日–19日（发布周）
• 门店营业时间：请查询您所选门店的营业时间

请在取货期内前往您所选的门店，并携带确认码和有效身份证件。",视情况,如用户到店无法提机、凭证异常、超过截止时间，转人工。,待确认
,哪里可以买/提HOT 70 Pro？,门店信息,city / store / address / opening hours / contact / pickup store / where to buy,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:
• Infinix Brand Shops (IBO)
• Infinix Partner Stores (IBP)
• Authorized KDM partners

Tap ""Find a Store"" to locate the nearest Infinix store to you!
https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online ","HOT 70 Pro 5G已在全国1500多家Infinix门店发售，包括：
• Infinix品牌店（IBO）
• Infinix合作伙伴店（IBP）
• 授权KDM合作伙伴

点击“查找门店”，定位离您最近的Infinix门店！
https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online ",视情况,如涉及实时库存、门店异常、城市未覆盖、具体门店确认，转人工。,已确认
,这个 WhatsApp 号是正规的吗？,官方身份说明,official / real / authentic / genuine / official channel / is this legit,"Yes! This is the official Infinix WhatsApp channel. We are an authorized Infinix service team.

✅ All products sold through our channels are 100% genuine
✅ Full manufacturer warranty applies
✅ After-sales support at any Infinix service center

You can verify official channels on our website and social media pages.","是的！这是官方的传音Infinix WhatsApp频道。我们是经过授权的传音Infinix服务团队。

✅ 通过我们渠道销售的所有产品均100%为正品
✅ 享有完整的制造商保修
✅ 可在任何传音Infinix服务中心获得售后支持

您可以在我们的网站和社交媒体页面上验证官方渠道。",否,如用户仍不信任或要求人工确认，可转人工。,已确认
,预订失败了怎么办？,人工兜底规则,failed booking / error / can't book / not working / system error,"We're sorry for the inconvenience! If your pre-order failed, our team can help you manually complete the booking. A support agent will assist you shortly.",对于给您带来的不便，我们深表歉意！如果您的预订失败，我们的团队可以帮助您手动完成预订。客服人员将很快为您提供协助。,是,此类问题原则上进入人工兜底，并记录原因。,已确认
,HOT70 Pro 5G有哪些颜色？,HOT 70 Pro 商品信息,what colors / color options / design / variants / finish,HOT 70 Pro 5G features 4 stunning color-changing variants with our exclusive Crystal Glow technology — the back changes color under different lighting!Night pulse、Mirage green、Dive blue、Thermo orange.,HOT 70 Pro 5G 拥有 4 款令人惊艳的变色版本，搭载我们独家的水晶焕彩技术——背部在不同光线下会变色！夜潮、幻影绿、深蓝、热橙色。,否,—,已确认
,HOT70 Pro 支持 5G 吗？,HOT 70 Pro 商品信息,5G / network / connectivity / does it have 5G,"Yes! HOT 70 Pro 5G supports 5G connectivity for ultra-fast browsing, streaming, and gaming. Experience next-level speed!",是的！HOT 70 Pro 5G 支持 5G 连接，可实现超快速浏览、流媒体和游戏体验。尽情享受更高级别的速度吧！,否,—,已确认
,HOT70 Pro 5G防水吗？,HOT 70 Pro 商品信息,waterproof / IP68 / IP69 / water resistant / can it get wet,"Yes! HOT 70 Pro 5G is rated IP68/IP69 for water and dust resistance — built to handle rain, splashes, and dusty environments with confidence.",是的！HOT 70 Pro 5G 拥有 IP68/IP69 防水防尘等级，能够从容应对雨水、泼溅和多尘环境。,否,—,已确认
