id,input,category,expected_facts,should_handoff,priority,rule_id,source
KB-FAQ-A001,HOT70 Pro 5G有哪些配置？,PROD,HOT 70 Pro 5G 主要规格：|显示屏|相机|电池|防护|操作系统|特色|颜色,false,P0,FAQ-A001,faq
KB-FAQ-A002,预定HOT 70 Pro的活动怎么参加？,ACT,如何预购HOT 70 Pro 5G：|1️⃣ 扫描预购二维码或访问活动页面|2️⃣ 填写您的详细信息（姓名、电话号码）|3️⃣ 输入验证码|4️⃣ 选择您偏好的门店和取货时间|5️⃣ 确认您的预订——您将收到取货码！|📅 预购期：7月8日–12日|🎁 预购福利已上线——不要错过！,false,P0,FAQ-A002,faq
KB-FAQ-A003,预订 HOT 70 Pro有什么福利？,BEN,预购专属福利：|🎁 优先提货 — 抢先拥有HOT 70 Pro |🎁 专属预购礼品（数量有限，赠完即止）|🎁 有机会赢取抽奖奖品|🎁 上市周期间的店内特别促销|前往离您最近的Infinix门店了解完整详情！,false,P0,FAQ-A003,faq
KB-FAQ-A004,什么时候可以提机？,PICK,取货安排：|预购取货开始时间|取货时间|门店营业时间|请在取货期内前往您所选的门店，并携带确认码和有效,false,P0,FAQ-A004,faq
KB-FAQ-A005,哪里可以买/提HOT 70 Pro？,STORE,HOT 70 Pro 5G已在全国1500多家I|• Infinix品牌店（IBO）|• Infinix合作伙伴店（IBP）|• 授权KDM合作伙伴|点击“查找门店”，定位离您最近的Infinix门,false,P0,FAQ-A005,faq
KB-FAQ-A006,这个 WhatsApp 号是正规的吗？,OFF,✅ 通过我们渠道销售的所有产品均100%为正品|✅ 享有完整的制造商保修|✅ 可在任何传音Infinix服务中心获得售后支|您可以在我们的网站和社交媒体页面上验证官方渠道。,false,P0,FAQ-A006,faq
KB-FAQ-A007,预订失败了怎么办？,HANDOFF,对于给您带来的不便，我们深表歉意！如果您的预订失败，我们的团,true,P0,FAQ-A007,faq
KB-FAQ-A008,HOT70 Pro 5G有哪些颜色？,PROD,HOT 70 Pro 5G 拥有 4 款令人惊艳的变色版本，,false,P0,FAQ-A008,faq
KB-FAQ-A009,HOT70 Pro 支持 5G 吗？,PROD,是的！HOT 70 Pro 5G 支持 5G 连接，可实现超,false,P0,FAQ-A009,faq
KB-FAQ-A010,HOT70 Pro 5G防水吗？,PROD,是的！HOT 70 Pro 5G 拥有 IP68/IP69 ,false,P0,FAQ-A010,faq
KB-FAQ-A011,预订后下一步做什么？,ACT,成功预订后，您将收到：|✅ 通过短信发送的取货确认码|✅ 取货日期前的提醒|取货当天，请携带确认码和有效身份证件前往您选择的,false,P0,FAQ-A011,faq
KB-FAQ-A012,支持分期付款吗？,BEN,是的！HOT 70 Pro 5G支持分期付款计划，可选0首付,false,P0,FAQ-A012,faq
KB-FAQ-A013,到店有什么礼品？,BEN,在发布期间（7月13日至19日）访问任何参与活动的Infin,false,P0,FAQ-A013,faq
KB-FAQ-A014,提机需要带什么？,PICK,领取您的HOT 70 Pro 5G时，请携带：|1️⃣ 取货确认码（通过短信发送）|2️⃣ 有效的政府签发身份证件|请确保您预订时使用的姓名与身份证件上的姓名一致。,false,P0,FAQ-A014,faq
KB-FAQ-A015,可以换门店提机吗？,PICK,预订与您在预约时选择的门店绑定。如果您需要更改取,true,P0,FAQ-A015,faq
KB-FAQ-A016,我所在的城市有门店吗？,STORE,传音在各大城市都有门店。要查询您附近是否有门店，,true,P0,FAQ-A016,faq
KB-FAQ-A017,HOT 70 Pro是正品吗？有保修吗？,OFF,当然！HOT 70 Pro 5G 是 100% |✅ 完整的制造商保修|✅ 传音服务中心的官方售后服务|✅ 3 年操作系统更新 + 5 年安全更新,false,P0,FAQ-A017,faq
KB-FAQ-A018,我想取消预订,HANDOFF,要取消您的预订，请提供您的预订确认码。我们将立即,true,P0,FAQ-A018,faq
KB-FAQ-A019,我要投诉/反馈问题,HANDOFF,我们非常重视您的反馈。客服人员将很快与您联系，帮,true,P0,FAQ-A019,faq
KB-FAQ-A020,到店后无法提机,HANDOFF,我们为给您带来的麻烦深表歉意。请提供您的确认码，,true,P0,FAQ-A020,faq
KB-FAQ-A021,HOT70 Pro 5G多少钱？,PROD,"HOT 70 Pro 5G 128GB+8GB |如果已支付 BDT 5,000 订金，提机时需支",false,P0,FAQ-A021,faq
KB-FAQ-A022,订金在哪里付,ACT,"BDT 5,000 订金需要在线下所选 Infi|前往门店时，请携带您的预订信息或确认码。",false,P0,FAQ-A022,faq
KB-FAQ-A023,提机时还要付多少钱？,PICK,最终付款金额请以所选门店确认为准。,false,P0,FAQ-A023,faq
KB-FAQ-A024,如果只线上填了信息，算预订成功吗？,ACT,在线提交信息只是完成预订意向登记，,false,P0,FAQ-A024,faq
KB-FAQ-A025,线上预订后，多久内要去门店付订金？,ACT,如果未在预订期内完成线下订金确认，您的预订名额可,false,P0,FAQ-A025,faq
KB-FAQ-A026,订金线上能不能付？,ACT,"不能。线上预订是免费的，不需要在线支付。|BDT 5,000 订金需要在您选择的 Infi",false,P0,FAQ-A026,faq
KB-FAQ-A027,可以预订几台？,ACT,根据活动规则，每个订单通常限预订 1 台。,false,P0,FAQ-A027,faq
KB-FAQ-A028,选了某个颜色，门店能保证有吗？,PROD,颜色是否可选取决于您所选门店的实际库存。|您在线上选择的颜色会作为偏好记录，但最终是否可提,false,P0,FAQ-A028,faq
KB-FAQ-A029,到店具体是什么礼品,BEN,本次预订活动赠品为 Smart Watch，具体|赠品图片仅供参考，实际颜色、型号或设计可能会有所,false,P0,FAQ-A029,faq
KB-FAQ-A030,Smart Watch 怎么领取？,BEN,Smart Watch 赠品将在您完成购机，并在|赠品是否可领取以库存和活动规则为准。,false,P0,FAQ-A030,faq
KB-FAQ-A031,为什么要激活才能拿赠品？,BEN,需要激活，是为了确认该设备已由终端用户购买并实际|赠品仅会在购买的设备成功完成 激活后发放。,false,P0,FAQ-A031,faq
KB-FAQ-A032,IBP / IBO 门店是什么意思？,STORE,IBP/IBO 门店指参与本次活动的 Infin|您的订金确认、提机、库存确认和赠品领取，将由您选,false,P0,FAQ-A032,faq
KB-FAQ-A033,线上抽奖/免单这是什么活动？,BEN,Infinix HOT70 Pro免单大奖活动：活动期内购买,false,P0,FAQ-A033,faq
KB-FAQ-A034,线上免单活动时间是什么时候？,BEN,活动期为 2026 年 7 月 8 日 0 点至 7 月 1,false,P0,FAQ-A034,faq
