用例ID,用例名称,执行步骤,预期结果,转人工预期,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,来源分类,执行结果,缺陷记录,是否使用新会话,实际回复内容（英文）,知识库是否命中,回复是否准确,意图标签是否准确,实际识别的意图标签,转人工时机是否准确,备注
TC-H70-001-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“HOT70 Pro 5G有哪些配置？”。步骤3：核对机器人识别的业务场景是否为“HOT 70 Pro 商品信息”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G 主要规格：
? 显示屏：144Hz 高刷新率，960 尼特亮度
? 相机：索尼影像系统
? 电池：6000mAh 带快速充电
? 防护：IP68/IP69 防水防尘
? 操作系统：3 年系统更新 + 5 年安全更新
? 特色：变色背部设计 + DIY 立方体 LED
? 颜色：4 种变色水晶版本

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G有哪些配置？,What are the specifications of the HOT 70 Pro 5G?,,,,,,,,,,,
TC-H70-001-H-C01,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：涉及价格不确定】,步骤1：先执行关联标准用例“TC-H70-001-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“这个价格是固定的吗？我去门店会不会又是另一个价？”。步骤3：核对机器人能结合前序问题识别当前触发条件“涉及价格不确定”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“涉及价格不确定”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,涉及价格不确定,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-001-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,这个价格是固定的吗？我去门店会不会又是另一个价？,"Is this price fixed, or could the store give me a different price?",,,,,,,,,,,
TC-H70-001-H-C02,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：商品状态变化】,步骤1：先执行关联标准用例“TC-H70-001-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“门店说这款现在可能没货了，那我还能拿到吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“商品状态变化”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“商品状态变化”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,商品状态变化,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-001-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,门店说这款现在可能没货了，那我还能拿到吗？,The store says this model might be out of stock now. Will I still be able to get it?,,,,,,,,,,,
TC-H70-001-H-C03,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：特殊报价】,步骤1：先执行关联标准用例“TC-H70-001-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“如果我今天去店里买，价格还能再便宜一点吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“特殊报价”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“特殊报价”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,特殊报价,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-001-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,如果我今天去店里买，价格还能再便宜一点吗？,Can I get a lower price if I buy it in the store today?,,,,,,,,,,,
TC-H70-002-N,[活动规则] 预订HOT 70 Pro的活动怎么参加？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“预订HOT 70 Pro的活动怎么参加？”。步骤3：核对机器人识别的业务场景是否为“活动规则”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"如何预购HOT 70 Pro 5G：
1?? 扫描预购二维码或访问活动页面
2?? 填写您的详细信息（姓名、电话号码）
3?? 输入验证码
4?? 选择您偏好的门店和取货时间
5?? 确认您的预订——您将收到取货码！

? 预购期：7月8日–12日
? 预购福利已上线——不要错过！

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订HOT 70 Pro的活动怎么参加？,How do I join the HOT 70 Pro pre-order event?,,,,,,,,,,,
TC-H70-002-H-C01,[活动规则] 预订HOT 70 Pro的活动怎么参加？【条件式转人工场景：用户预订失败】,步骤1：先执行关联标准用例“TC-H70-002-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我都填完了，最后还是显示预订失败，怎么回事？”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户预订失败”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户预订失败”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户预订失败,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-002-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我都填完了，最后还是显示预订失败，怎么回事？,"I filled everything in, but it still says the pre-order failed. What happened?",,,,,,,,,,,
TC-H70-002-H-C02,[活动规则] 预订HOT 70 Pro的活动怎么参加？【条件式转人工场景：入口打不开】,步骤1：先执行关联标准用例“TC-H70-002-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“那个预订链接一直打不开。”。步骤3：核对机器人能结合前序问题识别当前触发条件“入口打不开”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“入口打不开”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,入口打不开,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-002-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,那个预订链接一直打不开。,The pre-order link just won't open.,,,,,,,,,,,
TC-H70-002-H-C03,[活动规则] 预订HOT 70 Pro的活动怎么参加？【条件式转人工场景：流程异常】,步骤1：先执行关联标准用例“TC-H70-002-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“填到验证码那一步就卡住了，后面进不去。”。步骤3：核对机器人能结合前序问题识别当前触发条件“流程异常”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“流程异常”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,流程异常,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-002-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,填到验证码那一步就卡住了，后面进不去。,It gets stuck at the verification code step and won't go any further.,,,,,,,,,,,
TC-H70-003-N,[活动权益] 预订 HOT 70 Pro有什么福利？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“预订 HOT 70 Pro有什么福利？”。步骤3：核对机器人识别的业务场景是否为“活动权益”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"预购专属福利：
? 优先提货 — 抢先拥有HOT 70 Pro 5G
? 专属预购礼品（数量有限，赠完即止）
? 有机会赢取抽奖奖品
? 上市周期间的店内特别促销

前往离您最近的Infinix门店了解完整详情！

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订 HOT 70 Pro有什么福利？,What benefits do I get for pre-ordering the HOT 70 Pro?,,,,,,,,,,,
TC-H70-003-H-C01,[活动权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：用户询问特殊优惠】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“除了这些福利，还有没有别的折扣？”。步骤3：核对机器人能结合前序问题识别当前触发条件“用户询问特殊优惠”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“用户询问特殊优惠”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,用户询问特殊优惠,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-003-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,除了这些福利，还有没有别的折扣？,Are there any other discounts besides these benefits?,,,,,,,,,,,
