用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,执行阶段,是否使用新会话,实际回复内容（英文）,是否存在知识库,知识库是否命中（日志）,知识库命中（人工复核）,日志客户标签,LLM推测预期标签,LLM判定客户标签是否准确,客户标签准确（人工复核）,转人工预期,日志转人工,转人工是否准确,转人工准确（人工复核）,语义是否合理（LLM）,回复是否准确（LLM）,回复准确（人工复核）,服务端真实耗时,接口响应时长,备注
TC-H70-001-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G+ Key Specs:
• Display: 6.76-inch FHD+ LTPS LCD, 144Hz refresh rate, 950 nits peak brightness;
• Chipset: MediaTek Dimensity 7100 5G, 6nm process;
• Memory: 8GB RAM + 128GB storage, supports virtual RAM expansion and microSD expansion;
• Rear camera: 50MP Sony IMX882, f/1.8 aperture, PDAF;
• Front camera: 8MP, f/2.0 aperture;
• Battery: 6000mAh, 45W wired fast charging, up to 10W reverse charging, bypass charging;
• Protection: IP68 dust and water resistance plus MIL-STD-810H certification;
• OS: XOS 16 based on Android 16;
• Special features: Active Matrix Cube LED effects, temperature-sensitive color-changing Thermo Orange design, AI Eraser, AI Expansion, AI Live Photo and AI Wallpaper customization;
• Dimensions and weight: 166.9 x 79.5 x 7.9 mm, 204 g;
• Other features: NFC, side-mounted fingerprint sensor, stereo speakers, infrared remote control and 3.5mm headphone jack;
• Colors: Night Pulse, Mirage Green, Dive Blue, Thermo Orange, Sleek Black, Silk Glow Purple.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G有哪些配置？,HOT70 Pro 5G-এর স্পেসিফিকেশনগুলো কী?,P0,是,,是,,,,,,,否,,,,,,,,,
TC-H70-001-H-C01,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：price is uncertain】,步骤1：先执行关联标准用例“TC-H70-001-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“price is uncertain”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“price is uncertain”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,price is uncertain,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-001-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：price is uncertain,আপনি কি আমাকে সাহায্য করতে পারেন যদি দাম অনিশ্চিত থাকে?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-001-H-C02,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：product status changes】,步骤1：先执行关联标准用例“TC-H70-001-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“product status changes”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“product status changes”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,product status changes,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-001-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：product status changes,আপনি কি আমাকে সাহায্য করতে পারেন যদি পণ্যের স্ট্যাটাস পরিবর্তন হয়?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-001-H-C03,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：special quotations are involved】,步骤1：先执行关联标准用例“TC-H70-001-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“special quotations are involved”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“special quotations are involved”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,special quotations are involved,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-001-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：special quotations are involved,আপনি কি আমাকে সাহায্য করতে পারেন যদি বিশেষ কোটেশন জড়িত থাকে?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-002-N,[预订规则] 预定HOT 70 Pro的活动怎么参加？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"How to Pre-order HOT 70 Pro 5G:
1️⃣ Scan the pre-order QR code or visit the activity page
2️⃣ Fill in your details (name, phone number)
3️⃣ Enter the verification code
4️⃣ Select your preferred store & pickup time
5️⃣ After submitting your information, visit your selected IBP / IBO store to pay the BDT 5,000 deposit.

📅 Pre-order period: August 1–11
🎁 Pre-order benefits available — don't miss out!

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预定HOT 70 Pro的活动怎么参加？,HOT 70 Pro-এর প্রি-অর্ডার ইভেন্টে আমি কীভাবে অংশ নিতে পারি?,P0,是,,是,,,,,,,否,,,,,,,,,
TC-H70-002-H-C01,[预订规则] 预定HOT 70 Pro的活动怎么参加？【条件式转人工场景：booking fails】,步骤1：先执行关联标准用例“TC-H70-002-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“booking fails”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“booking fails”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,booking fails,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-002-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：booking fails,আপনি কি আমাকে সাহায্য করতে পারেন যদি বুকিং ব্যর্থ হয়?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-002-H-C02,[预订规则] 预定HOT 70 Pro的活动怎么参加？【条件式转人工场景：entry page cannot be opened】,步骤1：先执行关联标准用例“TC-H70-002-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“entry page cannot be opened”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“entry page cannot be opened”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,entry page cannot be opened,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-002-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：entry page cannot be opened,আপনি কি আমাকে সাহায্য করতে পারেন যদি এন্ট্রি পেজ খোলা না যায়?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-002-H-C03,[预订规则] 预定HOT 70 Pro的活动怎么参加？【条件式转人工场景：process is abnormal】,步骤1：先执行关联标准用例“TC-H70-002-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“process is abnormal”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“process is abnormal”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,process is abnormal,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-002-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：process is abnormal,আপনি কি আমাকে সাহায্য করতে পারেন যদি প্রক্রিয়াটি অস্বাভাবিক হয়?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-003-N,[预订权益] 预订 HOT 70 Pro有什么福利？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Campaign benefits:
1. Users who purchase through the pre-order campaign, successfully pick up the phone, and pay the final balance with Palmpay can get an instant BDT 2,000 discount.
2. Users who complete online pre-order and in-store pickup, add the official WhatsApp account, and upload the required information can join the free-order lucky draw. There is 1 free-order winner.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订 HOT 70 Pro有什么福利？,HOT 70 Pro বুকিং করার সুবিধাগুলো কী?,P0,是,,是,,,,,,,否,,,,,,,,,
TC-H70-003-H-C01,[预订权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：user asks about special promotions】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“user asks about special promotions”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“user asks about special promotions”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,user asks about special promotions,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-003-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：user asks about special promotions,আপনি কি আমাকে সাহায্য করতে পারেন যদি ব্যবহারকারী বিশেষ প্রচার সম্পর্কে জিজ্ঞেস করে?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-003-H-C02,[预订权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：fails to claim benefits】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“fails to claim benefits”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“fails to claim benefits”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,fails to claim benefits,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-003-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：fails to claim benefits,আপনি কি আমাকে সাহায্য করতে পারেন যদি সুবিধা দাবি করা না যায়?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-003-H-C03,[预订权益] 预订 HOT 70 Pro有什么福利？【条件式转人工场景：asks whether discounts can be stacked】,步骤1：先执行关联标准用例“TC-H70-003-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“asks whether discounts can be stacked”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“asks whether discounts can be stacked”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,asks whether discounts can be stacked,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-003-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：asks whether discounts can be stacked,আপনি কি আমাকে সাহায্য করতে পারেন যদি জিজ্ঞেস করা হয় ডিসকাউন্ট একসাথে যোগ করা যায় কি না?,P0,否,,是,,,,,,,是,,,,,,,,,
TC-H70-004-N,[提机规则] 什么时候可以提机？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Final payment / pickup period is August 12–16, 2026. Please visit your selected store during this period with your confirmation information and valid ID.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,什么时候可以提机？,আমি কখন ফোনটি নিতে পারব?,P0,是,,是,,,,,,,否,,,,,,,,,
TC-H70-004-H-C01,[提机规则] 什么时候可以提机？【条件式转人工场景：Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf】,步骤1：先执行关联标准用例“TC-H70-004-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-004-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf,আপনি কি আমাকে সাহায্য করতে পারেন যদি ব্যবহারকারী জিজ্ঞেস করে অন্য কেউ তাদের পক্ষে ফোনটি নিতে পারবে কি না তাহলে একজন মানব এজেন্টের কাছে স্থানান্তর করুন?,P0,否,,是,,,,,,,是,,,,,,,,,
