id,input,expected_intent,expected_action,expected_facts,should_handoff,priority,rule_id,source
INT-FAQ-A001,HOT70 Pro 5G有哪些配置？,产品信息,reply,HOT 70 Pro 5G 主要规格：|显示屏|相机|电池|防护|操作系统|特色|颜色,conditional,P0,FAQ-A001,faq
INT-FAQ-A001-P1,specs,产品信息,reply,HOT 70 Pro 5G 主要规格：|显示屏|相机|电池|防护|操作系统|特色|颜色,conditional,P0,FAQ-A001,faq_paraphrase
INT-FAQ-A001-P2,color,产品信息,reply,HOT 70 Pro 5G 主要规格：|显示屏|相机|电池|防护|操作系统|特色|颜色,conditional,P0,FAQ-A001,faq_paraphrase
INT-FAQ-A001-P3,memory,产品信息,reply,HOT 70 Pro 5G 主要规格：|显示屏|相机|电池|防护|操作系统|特色|颜色,conditional,P0,FAQ-A001,faq_paraphrase
INT-FAQ-A001-P4,battery,产品信息,reply,HOT 70 Pro 5G 主要规格：|显示屏|相机|电池|防护|操作系统|特色|颜色,conditional,P0,FAQ-A001,faq_paraphrase
INT-FAQ-A001-P5,camera,产品信息,reply,HOT 70 Pro 5G 主要规格：|显示屏|相机|电池|防护|操作系统|特色|颜色,conditional,P0,FAQ-A001,faq_paraphrase
INT-FAQ-A001-P6,price,产品信息,reply,HOT 70 Pro 5G 主要规格：|显示屏|相机|电池|防护|操作系统|特色|颜色,conditional,P0,FAQ-A001,faq_paraphrase
INT-FAQ-A001-P7,configuration,产品信息,reply,HOT 70 Pro 5G 主要规格：|显示屏|相机|电池|防护|操作系统|特色|颜色,conditional,P0,FAQ-A001,faq_paraphrase
INT-FAQ-A002,预定HOT 70 Pro的活动怎么参加？,活动规则,reply,如何预购HOT 70 Pro 5G：|1️⃣ 扫描预购二维码或访问活动页面|2️⃣ 填写您的详细信息（姓名、电话号码）|3️⃣ 输入验证码|4️⃣ 选择您偏好的门店和取货时间|5️⃣ 确认您的预订——您将收到取货码！|📅 预购期：7月8日–12日|🎁 预购福利已上线——不要错过！,false,P0,FAQ-A002,faq
INT-FAQ-A002-P1,join campaign,活动规则,reply,如何预购HOT 70 Pro 5G：|1️⃣ 扫描预购二维码或访问活动页面|2️⃣ 填写您的详细信息（姓名、电话号码）|3️⃣ 输入验证码|4️⃣ 选择您偏好的门店和取货时间|5️⃣ 确认您的预订——您将收到取货码！|📅 预购期：7月8日–12日|🎁 预购福利已上线——不要错过！,false,P0,FAQ-A002,faq_paraphrase
INT-FAQ-A002-P2,how to participate,活动规则,reply,如何预购HOT 70 Pro 5G：|1️⃣ 扫描预购二维码或访问活动页面|2️⃣ 填写您的详细信息（姓名、电话号码）|3️⃣ 输入验证码|4️⃣ 选择您偏好的门店和取货时间|5️⃣ 确认您的预订——您将收到取货码！|📅 预购期：7月8日–12日|🎁 预购福利已上线——不要错过！,false,P0,FAQ-A002,faq_paraphrase
INT-FAQ-A002-P3,booking,活动规则,reply,如何预购HOT 70 Pro 5G：|1️⃣ 扫描预购二维码或访问活动页面|2️⃣ 填写您的详细信息（姓名、电话号码）|3️⃣ 输入验证码|4️⃣ 选择您偏好的门店和取货时间|5️⃣ 确认您的预订——您将收到取货码！|📅 预购期：7月8日–12日|🎁 预购福利已上线——不要错过！,false,P0,FAQ-A002,faq_paraphrase
INT-FAQ-A002-P4,payment,活动规则,reply,如何预购HOT 70 Pro 5G：|1️⃣ 扫描预购二维码或访问活动页面|2️⃣ 填写您的详细信息（姓名、电话号码）|3️⃣ 输入验证码|4️⃣ 选择您偏好的门店和取货时间|5️⃣ 确认您的预订——您将收到取货码！|📅 预购期：7月8日–12日|🎁 预购福利已上线——不要错过！,false,P0,FAQ-A002,faq_paraphrase
