用例ID,用例名称,执行步骤,预期结果,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,转人工预期,是否存在知识库,执行阶段,是否使用新会话,知识库是否命中,知识库是否命中正确,日志客户标签,客户标签是否准确,日志转人工,转人工是否准确,实际回复内容（英文）,语义是否合理,回复是否准确,服务端真实耗时,接口响应时长,备注
TC-H70-001-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G Key Specs:
? Display: 144Hz High Refresh Rate, 960nits brightness
? Camera: SONY Image System
? Battery: 6000mAh with fast charging
? Protection: IP68/IP69 water & dust resistant
? OS: 3 years OS update + 5 years security update
? Special: Color-changing back design + DIY Cube LED
? Colors: 4 color-changing crystal variants

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G有哪些配置？,What are the specifications of the HOT70 Pro 5G?,否,是,P0,是,是,,NA,NA,否,是,"HOT 70 Pro 5G Key Specs:• Display: 144Hz High Refresh Rate, 960nits brightness• Camera: SONY Image System• Battery: 6000mAh with fast charging• Protection: IP68/IP69 water & dust resistant• OS: 3 years OS update + 5 years security update• Special: Color-changing back design + DIY Cube LED• Colors: 4 color-changing crystal variants",是,是,460,3755,handoff source=trace.handoff_flag; 回复直接列出了用户询问的规格，内容准确且语言自然。
TC-H70-002-N,[活动规则] 预定HOT 70 Pro的活动怎么参加？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"How to Pre-order HOT 70 Pro 5G:
1?? Scan the pre-order QR code or visit the activity page
2?? Fill in your details (name, phone number)
3?? Enter the verification code
4?? Select your preferred store & pickup time
5?? Confirm your booking — you'll receive a pickup code!

? Pre-order period: July 8–12
? Pre-order benefits available — don't miss out!

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预定HOT 70 Pro的活动怎么参加？,How can I participate in the pre-order event for the HOT 70 Pro?,否,是,P0,是,是,,NA,NA,否,是,"How to Pre-order HOT 70 Pro 5G:1️⃣ Scan the pre-order QR code or visit the activity page2️⃣ Fill in your details (name, phone number)3️⃣ Enter the verification code4️⃣ Select your preferred store & pickup time5️⃣ Confirm your booking — you'll receive a pickup code!📅 Pre-order period: July 8–12🎁 Pre-order benefits available — don't miss out!",是,是,404,3577,handoff source=trace.handoff_flag; 机器人回复提供了清晰的预购步骤、时间范围和福利提示，语义合理且语言自然流畅。
TC-H70-003-N,[活动权益] 预订 HOT 70 Pro有什么福利？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Pre-order Exclusive Benefits:
? Priority pickup — be among the first to get HOT 70 Pro 5G
? Exclusive pre-order gifts (subject to availability)
? Chance to win lucky draw prizes
? Special in-store promotions during launch week

Visit your nearest Infinix store for full details!

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,预订 HOT 70 Pro有什么福利？,What are the benefits of booking the HOT 70 Pro?,否,是,P0,是,否,,NA,NA,NA,是,,NA,NA,0,50000,handoff by LLM: No agent response or handoff indicated in the conversation transcript.; handoff source=llm; no outbound reply; 业务反馈关键词重合0个
TC-H70-004-N,[门店信息] 哪里可以买/提HOT 70 Pro？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:
? Infinix Brand Shops (IBO)
? Infinix Partner Stores (IBP)
? Authorized KDM partners

Tap ""Find a Store"" to locate the nearest Infinix store to you!
https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,哪里可以买/提HOT 70 Pro？,Where can I buy/pick up the HOT 70 Pro?,否,是,P0,是,是,,NA,NA,否,是,"HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:• Infinix Brand Shops (IBO)• Infinix Partner Stores (IBP)• Authorized KDM partnersTap ""Find a Store"" to locate the nearest Infinix store to you!https://hk-paas.transsion.com/cmp-campaign-h5/hot70/view/online",是,是,384,3430,handoff source=trace.handoff_flag; 机器人用英文回答了用户关于购买地点的问题，内容清晰且提供了具体店铺类型和查找链接，语义合理，语言自然。
TC-H70-005-N,[官方身份说明] 这个 WhatsApp 号是正规的吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题。步骤3：核对机器人识别业务场景。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"Yes! This is the official Infinix WhatsApp channel. We are an authorized Infinix service team.

? All products sold through our channels are 100% genuine
? Full manufacturer warranty applies
? After-sales support at any Infinix service center

You can verify official channels on our website and social media pages.

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准问答场景下不应错误触发人工转接。",无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,这个 WhatsApp 号是正规的吗？,Is this WhatsApp number legitimate?,否,是,P0,是,是,,NA,NA,否,是,Yes! This is the official Infinix WhatsApp channel. We are an authorized Infinix service team.✅ All products sold through our channels are 100% genuine✅ Full manufacturer warranty applies✅ After-sales support at any Infinix service centerYou can verify official channels on our website and social media pages.,是,是,322,3023,handoff source=trace.handoff_flag; 机器人直接确认号码为官方渠道，并列出多个验证点和保证，语义清晰且语言自然。
TC-H70-001-H-C01,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：price is uncertain】,步骤1：先执行关联标准用例“TC-H70-001-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“price is uncertain”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“price is uncertain”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,price is uncertain,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-001-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：price is uncertain,Could you help me with price is uncertain?,是,是,P0,否,否,,NA,NA,否,否,"HOT 70 Pro 5G Key Specs:• Display: 144Hz High Refresh Rate, 960nits brightness• Camera: SONY Image System• Battery: 6000mAh with fast charging• Protection: IP68/IP69 water & dust resistant• OS: 3 years OS update + 5 years security update• Special: Color-changing back design + DIY Cube LED• Colors: 4 color-changing crystal variants",否,否,359,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 用户询问价格问题，但机器人重复了规格列表，未针对价格问题做出回应。
TC-H70-001-H-C02,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：product status changes】,步骤1：先执行关联标准用例“TC-H70-001-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“product status changes”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“product status changes”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,product status changes,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-001-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：product status changes,Could you help me with product status changes?,是,是,P0,否,是,,NA,NA,否,否,"HOT 70 Pro 5G Key Specs:• Display: 144Hz High Refresh Rate, 960nits brightness• Camera: SONY Image System• Battery: 6000mAh with fast charging• Protection: IP68/IP69 water & dust resistant• OS: 3 years OS update + 5 years security update• Special: Color-changing back design + DIY Cube LED• Colors: 4 color-changing crystal variants",否,否,93,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 用户询问产品状态变更，机器人重复了规格信息，未回答用户问题。
TC-H70-001-H-C03,[HOT 70 Pro 商品信息] HOT70 Pro 5G有哪些配置？【条件式转人工场景：special quotations are involved】,步骤1：先执行关联标准用例“TC-H70-001-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“special quotations are involved”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“special quotations are involved”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,special quotations are involved,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-001-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：special quotations are involved,Could you help me with special quotations are involved?,是,是,P0,否,否,,NA,NA,否,否,"HOT 70 Pro 5G Key Specs:• Display: 144Hz High Refresh Rate, 960nits brightness• Camera: SONY Image System• Battery: 6000mAh with fast charging• Protection: IP68/IP69 water & dust resistant• OS: 3 years OS update + 5 years security update• Special: Color-changing back design + DIY Cube LED• Colors: 4 color-changing crystal variants",否,否,350,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人未回答用户关于特殊报价的问题，而是重复了规格信息。
TC-H70-002-H-C01,[活动规则] 预定HOT 70 Pro的活动怎么参加？【条件式转人工场景：booking fails】,步骤1：先执行关联标准用例“TC-H70-002-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“booking fails”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“booking fails”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,booking fails,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-002-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：booking fails,Could you help me with booking fails?,是,是,P0,否,是,,NA,NA,否,否,"How to Pre-order HOT 70 Pro 5G:1️⃣ Scan the pre-order QR code or visit the activity page2️⃣ Fill in your details (name, phone number)3️⃣ Enter the verification code4️⃣ Select your preferred store & pickup time5️⃣ Confirm your booking — you'll receive a pickup code!📅 Pre-order period: July 8–12🎁 Pre-order benefits available — don't miss out!",否,否,85,50000,handoff source=trace.handoff_flag; actual handoff did not match expected value; 机器人未针对用户关于预订失败的问题进行解答，而是重复了预订流程。
TC-H70-002-H-C02,[活动规则] 预定HOT 70 Pro的活动怎么参加？【条件式转人工场景：entry page cannot be opened】,步骤1：先执行关联标准用例“TC-H70-002-N”，并保持同一WhatsApp会话。步骤2：在同一会话继续追问场景问题：“entry page cannot be opened”。步骤3：核对机器人识别到条件场景并触发人工转接。步骤4：确认转接前话术与当前问题相关。步骤5：确认未继续输出超范围确定性结论。,命中条件场景“entry page cannot be opened”后，机器人应触发转人工；转接前话术应与当前问题相关，不得继续输出超范围确定性结论。,entry page cannot be opened,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 已完成“TC-H70-002-N”；2) 机器人已给出首轮回复；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我遇到这个情况：entry page cannot be opened,Could you help me with entry page cannot be opened?,是,是,P0,否,否,,NA,NA,NA,否,,NA,NA,80,50000,handoff by LLM: 对话中只有用户提问，没有客服回复或转人工操作; handoff source=llm; actual handoff did not match expected value; FAQ转人工条件匹配
