序号,状态,是否需要转人工,是否转人工（英文）,回复中文翻译,转人工条件/备注,用户问题,转人工条件（英文）,业务反馈,问题（英文）,分类
,已确认,视情况,Depends on the situation,"HOT 70 Pro 5G+ 主要规格：
• 显示屏：6.76 英寸 FHD+ LTPS LCD，支持 144Hz 刷新率，HBM 亮度 950 尼特
• 芯片：MediaTek Dimensity 7100 5G
• 内存：128GB+8GB，并支持扩展内存
• 相机：50MP SONY IMX882 后置主摄 + 8MP 前置摄像头
• 电池：6000mAh，45W 快充，最高 10W 反向充电
• 防护：IP68 防尘防水
• 系统：XOS 16，基于 Android 16
• 特色：Dynamic Shine Design + Active Matrix Cube + One-Tap AI FlashMemo
• 颜色：Night Pulse, Mirage Green, Dive Blue, Thermo Orange, Sleek Black, Silk Glow Purple
",如涉及价格不确定、商品状态变化、特殊报价，转人工确认。,HOT70 Pro 5G有哪些配置？,"Transfer to human for confirmation if price is uncertain, product status changes, or special quotations are involved","HOT 70 Pro 5G+ Key Specs:
• Display: 6.76-inch FHD+ LTPS LCD, 144Hz refresh rate, 950 nits HBM brightness
• Chipset: MediaTek Dimensity 7100 5G
• Memory: 128GB+8GB, with Extended RAM
• Camera: 50MP SONY IMX882 rear camera + 8MP front camera
• Battery: 6000mAh, 45W fast charge, max 10W reverse charging
• Protection: IP68 dust & water resistance
• OS: XOS 16, powered by Android 16
• Special: Dynamic Shine Design + Active Matrix Cube + One-Tap AI FlashMemo
• Colors: Night Pulse, Mirage Green, Dive Blue, Thermo Orange, Sleek Black, Silk Glow Purple",What are the specifications of the HOT70 Pro 5G?,HOT 70 Pro 商品信息
,已确认,视情况,Depends on the situation,"如何预购HOT 70 Pro 5G：
1️⃣ 扫描预购二维码或访问活动页面
2️⃣ 填写您的详细信息（姓名、电话号码）
3️⃣ 输入验证码
4️⃣ 选择您偏好的门店和取货时间
5️⃣ 提交预订信息后，前往所选 IBP / IBO 门店支付 BDT 5,000 订金。

📅 预购期：8月1日–11日
🎁 预购福利已上线——不要错过！",如用户预订失败、入口打不开、流程异常，转人工。,预定HOT 70 Pro的活动怎么参加？,"Transfer to human if booking fails, entry page cannot be opened, or process is abnormal","How to Pre-order HOT 70 Pro 5G:
1️⃣ Scan the pre-order QR code or visit the activity page
2️⃣ Fill in your details (name, phone number)
3️⃣ Enter the verification code
4️⃣ Select your preferred store & pickup time
5️⃣ After submitting your information, visit your selected IBP / IBO store to pay the BDT 5,000 deposit.

📅 Pre-order period: August 1–11
🎁 Pre-order benefits available — don't miss out!",How can I participate in the pre-order event for the HOT 70 Pro?,预订规则
,已确认,视情况,Depends on the situation,"活动福利：1. 通过预订活动购买并成功提机，且尾款使用 Palmpay 支付的用户，可当场立减 BDT 2,000。
2. 完成 HOT 70 Pro 5G 128GB+8GB 线上预订并到店提机后，添加官方 WhatsApp 并上传相关信息，即可参与免单抽奖。免单名额共 1 名。",如用户询问特殊优惠、权益领取失败、优惠是否可叠加，转人工。,预订 HOT 70 Pro有什么福利？,"Transfer to human if user asks about special promotions, fails to claim benefits, or asks whether discounts can be stacked","Campaign benefits: 
1. Users who purchase through the pre-order campaign, successfully pick up the phone, and pay the final balance with Palmpay can get an instant BDT 2,000 discount. 
2. Users who complete online pre-order and in-store pickup, add the official WhatsApp account, and upload the required information can join the free-order lucky draw. There is 1 free-order winner.",What are the benefits of booking the HOT 70 Pro?,预订权益
,已确认,视情况,Depends on the situation,尾款 / 提机时间为 2026 年 8 月 12 日至 8 月 16 日。请在该期间携带确认信息和有效身份证件前往所选门店办理。,如用户询问是否可以代取、到店无法提机、凭证异常、超过截止时间，转人工。,什么时候可以提机？,"Transfer to a human agent if the user asks whether someone else can pick up the phone on their behalf, cannot pick up the device at the store, has an abnormal voucher/confirmation code, or has missed the pickup deadline.","Final payment / pickup period is August 12–16, 2026. Please visit your selected store during this period with your confirmation information and valid ID.",When can I pick up the phone?,提机规则
,后续需要更新,视情况,Depends on the situation,"HOT 70 Pro 5G已在全国1500多家Infinix门店发售，包括：
• Infinix品牌店（IBO）
• Infinix合作伙伴店（IBP）
• 授权KDM合作伙伴

点击“查找门店”，定位离您最近的Infinix门店！
[https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online)",如涉及实时库存、门店异常、城市未覆盖、具体门店确认，转人工。,哪里可以买/提HOT 70 Pro？,"Transfer to human if real-time inventory, store anomalies, uncovered cities, or specific store confirmation are involved","HOT 70 Pro 5G is available at 1,500+ Infinix stores nationwide, including:
• Infinix Brand Shops (IBO)
• Infinix Partner Stores (IBP)
• Authorized KDM partners

Tap ""Find a Store"" to locate the nearest Infinix store to you!
[https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online](https://uat-paas.transsion.com/cmp-campaign-h5/hot70/view/online)",Where can I buy/pick up the HOT 70 Pro?,门店信息
,已确认,视情况,Depends on the situation,"是的！这是官方的传音Infinix WhatsApp频道。我们是经过授权的传音Infinix服务团队。

✅ 通过我们渠道销售的所有产品均100%为正品
✅ 享有完整的制造商保修
✅ 可在任何传音Infinix服务中心获得售后支持",如用户仍不信任或要求人工确认，可转人工。,这个 WhatsApp 号是正规的吗？,Transfer to human if user still does not trust or requests manual confirmation,"Yes! This is the official Infinix WhatsApp channel. We are an authorized Infinix service team.

✅ All products sold through our channels are 100% genuine
✅ Full manufacturer warranty applies
✅ After-sales support at any Infinix service center",Is this WhatsApp number legitimate?,官方身份说明
,已确认,是,Yes,对于给您带来的不便，我们深表歉意！客服人员将很快为您提供协助。,,预订失败了怎么办？,,We're sorry for the inconvenience! A support agent will assist you shortly.,What should I do if the booking fails?,人工兜底规则
,已确认,否,No,HOT 70 Pro 5G+ 官方共有 6 种颜色：Night Pulse、Mirage Green、Dive Blue、Thermo Orange、Sleek Black、Silk Glow Purple。,,HOT70 Pro 5G有哪些颜色？,,"HOT 70 Pro 5G+ comes in 6 official colors: Night Pulse, Mirage Green, Dive Blue, Thermo Orange, Sleek Black, and Silk Glow Purple.",What colors does the HOT70 Pro 5G come in?,HOT 70 Pro 商品信息
,已确认,否,No,是的！HOT 70 Pro 5G 支持 5G 连接，可实现超快速浏览、流媒体和游戏体验。尽情享受更高级别的速度吧！,,HOT70 Pro 支持 5G 吗？,,"Yes! HOT 70 Pro 5G supports 5G connectivity for ultra-fast browsing, streaming, and gaming. Experience next-level speed!",Does the HOT70 Pro support 5G?,HOT 70 Pro 商品信息
,已确认,否,No,是的！HOT 70 Pro 5G 拥有 IP68 防水防尘等级，能够从容应对雨水、泼溅和多尘环境。,,HOT70 Pro 5G防水吗？,,"Yes! HOT 70 Pro 5G is rated IP68 for water and dust resistance — built to handle rain, splashes, and dusty environments with confidence.",Is the HOT70 Pro 5G waterproof?,HOT 70 Pro 商品信息
