id,category,input,expected_action,expected_prompt_hint,reason,priority,rule_id,source
ADV-ERR-001,输入异常,   ,reply,没有收到有效内容|请重新输入,空消息或纯空格,P0,R-ERR-001,exception
ADV-ERR-002,输入异常,😀😀😀,reply,暂未理解|请用文字|转人工,仅 Emoji 无文字,P0,R-ERR-001,exception
ADV-ERR-003,输入异常,asdfghjkl123,reply,暂未理解|产品|活动|转人工,无意义乱码,P0,R-ERR-001,exception
ADV-ERR-004,输入异常,?????,reply,暂未理解|重新描述|转人工,纯符号,P1,R-ERR-001,exception
ADV-ERR-005,输入异常,(>500字重复文本),reply,内容较长|简要|转人工,超长文本,P0,R-ERR-001,exception
ADV-ERR-006,输入异常,Hello??? @@@ ###,reply,暂未理解|Hot70|转人工,混合乱码英文,P1,R-ERR-001,exception
ADV-ERR-007,输入异常,(用户发送图片),reply,暂不支持|请发送文字|转人工,非文本消息,P1,R-ERR-008,exception
ADV-ERR-008,输入异常,(用户发送语音),reply,暂不支持|文字|转人工,语音消息,P1,R-ERR-008,exception
ADV-ERR-009,意图异常,今天天气怎么样,handoff,无法直接回答|转接人工|Hot70,超范围问题,P0,R-ERR-002,exception
ADV-ERR-010,意图异常,讲个笑话,handoff,无法|转接|人工,娱乐无关,P1,R-ERR-002,exception
ADV-ERR-011,意图异常,Hot70 和 iPhone 哪个好,reply,Hot70|官方|咨询,竞品对比,P1,R-ERR-006,exception
ADV-ERR-012,意图异常,你们是不是骗子,handoff,官方|Infinix|转人工,信任质疑,P0,R-ERR-002,exception
ADV-ERR-013,意图异常,价格多少还有门店在哪什么时候提机,reply,请问|想了解哪一个|分开,多意图混合,P1,R-ERR-005,exception
ADV-ERR-014,意图异常,啊啊啊,reply,暂未理解|Hot70|转人工,低信息熵,P1,R-ERR-005,exception
ADV-ERR-015,知识库异常,FAQ 无覆盖的随机问题：火星上有 Hot70 吗,handoff,无法确认|转接人工|不编造,未命中知识库,P0,R-ERR-002,exception
ADV-ERR-016,知识库异常,还有库存吗,handoff,实时|人工查询|转接,动态库存,P0,R-ERR-003,exception
ADV-ERR-017,知识库异常,我的订单到哪了,handoff,订单|人工|转接,查订单,P0,R-ERR-003,exception
ADV-ERR-018,知识库异常,现在有什么特殊优惠吗,handoff,优惠|人工确认|转接,特殊优惠动态,P0,R-ERR-003,exception
ADV-ERR-019,知识库异常,这家店现在有现货吗,handoff,现货|门店|转接,门店实时库存,P0,R-ERR-003,exception
ADV-ERR-020,通道异常,(模拟智齿发消息 API 失败),reply,发送遇到问题|稍后重试,发消息失败,P0,R-ERR-004,exception
ADV-ERR-021,通道异常,(模拟转人工接口失败),reply,暂时无法接通|稍后再试|转人工,转人工失败,P0,R-ERR-004,exception
ADV-ERR-022,通道异常,(模拟响应超过10秒),reply,稍等|繁忙|转人工,响应超时,P0,R-ERR-004,exception
ADV-ERR-023,通道异常,(模拟知识库检索超时),handoff,暂时无法查询|转接人工,KB 超时,P1,R-ERR-004,exception
ADV-ERR-024,通道异常,(模拟机器人服务503),reply,系统|繁忙|稍后重试,服务不可用,P1,R-ERR-004,exception
ADV-ERR-025,通道异常,(同一 message_id 回调2次),none,,重复回调不重复回复,P0,R-ERR-004,exception
ADV-ERR-026,会话异常,（转人工后）在吗,none,,转人工后机器人不回复,Q02,R-ERR-007,exception
ADV-ERR-027,会话异常,（转人工后）还有人吗,none,,转人工后第二条,Q02,R-ERR-007,exception
ADV-ERR-028,会话异常,(会话超时30分钟后) Hot70 多少钱,reply,欢迎回来|继续咨询|Hot70,会话超时再进,P1,R-ERR-004,exception
ADV-ERR-029,会话异常,转人工 转人工 转人工,handoff,正在|转接|人工,重复请求转人工,P1,R-HO-001,exception
ADV-ERR-030,行为异常,你是傻逼,handoff,理解|转人工|帮助,辱骂内容,P1,R-ERR-006,exception
ADV-ERR-031,行为异常,3秒内连发10条「在吗」,reply,已收到|请稍候|勿重复,刷屏,P1,R-ERR-004,exception
ADV-ERR-032,行为异常,同一问题连问5次「多少钱」,reply,已回复|转人工,重复追问,P1,R-ERR-005,exception
ADV-INT-001,意图异常,今天天气怎么样,handoff,无法|转接,无法覆盖(legacy),P0,R-INT-002,prd
ADV-HO-002,知识库异常,还有库存吗,handoff,实时|转接,动态信息(legacy),P0,R-KB-002,faq_rule
ADV-HO-003,知识库异常,我的订单到哪了,handoff,订单|转接,查订单(legacy),P0,R-KB-002,faq_rule
ADV-Q02-001,会话异常,（转人工后）在吗,none,,Q02(legacy),P0,R-HO-005,prd
